,cord_uid,sentence_id,section,sentence
9513,8q1veo3q,8q1veo3q219513,Lymphocyte reduction aggravates extrapulmonary multiple organ injuries among COVID-19 patients,"Moreover, myocardial function results suggested that creatine kinase, LDH, AST and AST/ALT ratio were significantly increased in patients with lymphocyte reduction compared with in patients with normal lymphocyte."
9515,8q1veo3q,8q1veo3q219515,Lymphocyte reduction aggravates extrapulmonary multiple organ injuries among COVID-19 patients,The number of creatine kinase isoenzymes-positive patients were equal between two groups.
9608,8q1veo3q,8q1veo3q329608,Discussion,"We found that TBIL and DBIL, two markers of hepatic injury, creatinine and urea nitrogen, two indices of renal function, and creatine kinase, AST and LDH, three myocardial enzymes, were obviously elevated in COVID-19 patients with lymphocyte reduction."
9712,xgwmda8e,xgwmda8e179712,156,"Besides the decrease in lymphocyte count, the present 188 study also showed that many COVID-19 patients had increased levels of C-reactive protein, 189 creatine kinase, lactate dehydrogenase and procalcitonin."
9745,xgwmda8e,xgwmda8e79745,Results 88,"Increased levels of 115 aspartate aminotransferase, creatinine, creatine kinase, lactate dehydrogenase, hypersensitive 116 troponin I, procalcitonin and C-reactive protein were observed in 27."
9766,xgwmda8e,xgwmda8e119766,140,"In addition, estrogen, the major female sex hormone, is known to 145 promote adaptive immune response (76), while testosterone, the primary sex hormone in men, 146 could contribute to the suppression of the innate immune response, rendering men more 147 susceptible to viral infections (77, 78)."
9789,xgwmda8e,xgwmda8e59789,Data analysis 76,"The following data were extracted from the included studies: name of first author, country, date 77 of diagnosis, demographic data, smoking status, comorbidities, signs and symptoms, 78 laboratory/biochemical data, CT findings, and complications of the disease."
9882,5gbjdr0u,5gbjdr0u299882,Discussion,It is required to further explore whether human liver is another target of SARS-CoV-2 injection.
9892,5gbjdr0u,5gbjdr0u09892,Introduction,The onset time was defined as the date when patients' any symptom and sign were found.
9953,w02mylsc,w02mylsc09953,abstract,"The most common mentioned and reported medicine in this systematic review was corticosteroids (n=25), followed by Lopinavir (n=21) and oseltamivir (n=16)."
9961,w02mylsc,w02mylsc109961,Reported therapeutics,"The most common reported medicine in this systematic review was the anti-inflammatory medication corticosteroid (n=25) with different names and product characteristics, (corticosteroid n=21, methylprednisolone n=3, dexamethasone n=1), followed by the antiviral HIV medication Lopinavir (n=21), as combination lopinavir / ritonavir (n=18), alone (n-3), followed by the oseltamivir (n=16) and arbidol hydrochloride (n=8)."
9962,w02mylsc,w02mylsc119962,Reported therapeutics,"In terms of antibacterial medicines, moxifloxacin (n=4) and tigecycline were the most reported."
9980,w02mylsc,w02mylsc149980,Discussion,This is the first up to date review related the therapeutics used in COVID-patients in a systematic manner.
9982,w02mylsc,w02mylsc149982,Discussion,"Systematic corticosteroid of different names and formulation was the most commonly mentioned, and used medication (n=25), followed by the antivirals Lopinavir (n=21), oseltamivir (n=16) and arbidol hydrochloride (n=8)."
9988,w02mylsc,w02mylsc169988,Discussion,Chloroquine phosphate and Hydroxychloroquine were reported in this review and showed favorable outcomes on the recovery of COVID-19 patients (6) (7) (57) (58) (59) (60) .
9991,w02mylsc,w02mylsc169991,Discussion,"Furthermore, Hydroxychloroquine showed a significant effectiveness to kill intracellar pathogens such as Coxiella burnetii, the agent of Q fever (22) ."
9993,w02mylsc,w02mylsc169993,Discussion,The effect of Hydroxychloroquine was significant because it showed reduction in the viral load when it compared with the control group (22) .
9994,w02mylsc,w02mylsc169994,Discussion,"Moreover, the effect of Hydroxychloroquine was significantly more effective when azithromycin was added to the patients according to their clinical needs."
9998,w02mylsc,w02mylsc169998,Discussion,"On March 30, 2020, has issued an emergency use authorization for chloroquine and hydroxychloroquine to treat patients hospitalized with ."
10003,w02mylsc,w02mylsc2010003,Discussion,"Notably there are some potential risks and ethical issues associated with their used, including increased thrombotic event risk that occur at the same administration date (0.04 to 14.9%), the lack of high quality research in this particular area, and the selectivity of donors with high neutralizing antibody titers (65) ."
10017,w02mylsc,w02mylsc010017,Introduction Methods,"The search terms included combinations of: COVID-19, SARS-COV-2, glucocorticoids, chloroquine, convalescent plasma, antiviral, antibacterial, oseltamivir, hydroxychloroquine, chloroquine phosphate, monoclonal antibodies."
10048,w02mylsc,w02mylsc3910048,137,"14% of lopinavir-ritonavir developed gastrointestinal adverse events, including anorexia, nausea, abdominal discomfort, or diarrhea, as well as two serious adverse events, both acute gastritis."
10058,w02mylsc,w02mylsc2110058,Conclusions,"This is the first systematic review up to date, related to the therapeutics used in COVID-19 patients."
10060,w02mylsc,w02mylsc2210060,Conclusions,"The anti-inflammatory medication corticosteroid was found to be the most mentioned and used medicine in these studies, despite the safety alert made by WHO and CDC, followed by antivirals medication Lopinavir, oseltamivir and arbidol hydrochloride."
10179,prpooezh,prpooezh4610179,Challenges and future prevention of COVID 19,"Challenges: The challenges for the effective controlling of COVID-19 outbreak include absence validated vaccine and treatment 56,57 , ability of the viral antigen to stay longer in the air, sociocultural behaviour of people, lack of awareness, viral capacity of staying in animate objective for weeks 58 , overcrowding environment, having asymptomatic carriers, unavailability of test kits 61 , having wide host range 57 , lack of readiness to follow the recommended social distancing, difficulty of interpreting social distancing, unknown infective dose, unknown degree of infectivity prior the onset of clinical manifestation and after recovery."
10237,prpooezh,prpooezh3910237,Current treatment,"Lopinavir and Ritonavir: these ant viral drugs are acts by bind to Mpro, a key enzyme for coronavirus replication 46 ."
10473,6ixjbbek,6ixjbbek7210473,Ramp-up date,"Case Total Worst date-state (t, n"
10479,6ixjbbek,6ixjbbek7510479,Ramp-up date,"(b) The dynamic US map comparing the ventilators' shortage in different states, on any date in the planning horizon."
10710,kjovtgua,kjovtgua2210710,(which was not peer-reviewed),"Except for glucose (GLU) and magnesium (Mg), almost all the parameters manifested the significant differences between COVID-19 and general pneumonia in Figure 3 ."
10712,kjovtgua,kjovtgua2210712,(which was not peer-reviewed),"In fact, many abnormal changes of laboratory parameters had been widely reported for important clinical references, including total bilirubin (TBIL), GLU, creatinine (CREA), lactate dehydrogenase (LDH), creatine kinase isoenzyme (CK-MB), and kalium (K)."
10865,z2g1mx1p,z2g1mx1p2010865,A Framework for Collecting and Sharing Data,These data will allow researchers to perform several immediately useful analyses.
11040,mmcszoxb,mmcszoxb311040,Main Text:,"While these approaches offer critical public health insights, they are not tailored for the type of scalable longitudinal data capture that epidemiologists need to perform comprehensive, well-powered investigations to address this public health crisis."
11045,mmcszoxb,mmcszoxb411045,Main Text:,https://doi.org/10.1101/2020.04.02.20051334 doi: medRxiv preprint of scientists with expertise in big data research and translational epidemiology to interrogate the COVID-19 pandemic in the largest and most diverse patient population assembled to-date.
11138,igxdatq1,igxdatq14411138,Discussion,An other health policy measure might be to delay the date of disconfinement.
11296,d48u5w0h,d48u5w0h3411296,Alcohol,"• Due to the widespread use of alcohol-base disinfectants, it is important to emphasise that masks and respirators should not be sprayed with alcohol."
11321,d48u5w0h,d48u5w0h3111321,DISINFECTION OF OTHER PPE,"Alternatively, these could be cleaned with an alcohol solution at ≥80%, which should be left for at least 30 seconds 44 ."
11322,d48u5w0h,d48u5w0h3111322,DISINFECTION OF OTHER PPE,"Afterwards, the goggles/eyewear should be rinsed thoroughly with warm water to remove the disinfectant solution, which could otherwise damage the equipment or cause skin irritation on the ."
11328,d48u5w0h,d48u5w0h1011328,DISINFECTION,"These can be characterized as either 1) energetic methods (e.g. ultraviolet, dry and wet heat, and microwave generated steam), or 2) chemical methods (e.g. alcohol, ethylene oxide, bleach, and vapourized hydrogen peroxide)."
11329,d48u5w0h,d48u5w0h1011329,DISINFECTION,"Some of these rapidly and significantly affect N95 filter performance (alcohol 17 ), and others require chemical supplies and specialized facilities (e.g. ethylene oxide, vapourized hydrogen peroxide), or are not readily scalable to large numbers of PPE (e.g. microwave generated steam)."
11333,d48u5w0h,d48u5w0h1211333,Ultraviolet germicidal irradiation (UVGI),"It should be noted that those studies were almost invariably performed on aqueous solutions, in air, or on solid surfaces, i.e. environments that do not directly reflect for example, the micro-environment of N95 FFRs."
11376,d48u5w0h,d48u5w0h511376,SARS-CoV-1,"• 9-day survival in respiratory specimens at room temperature 12 , but more than 14 days in dechlorinated tap water at 4°C and >17 days in urine at 20°C 15 (Table  1) ."
11429,wb19vqv3,wb19vqv32811429,Phylogenetics,"SARS-CoV-2 genomes from the global COVID-19 pandemic were downloaded from GISAID ( 23 , 24 ) and processed using the Nextstrain ( 25 ) bioinformatics pipeline Augur to align genomes via MAFFT v7.4 ( 33 ) , build maximum likelihood phylogeny via IQTREE v1.6 ( 34 ) and reconstruct nucleotide and amino acid changes on the ML tree."
11460,wb19vqv3,wb19vqv3511460,Main text,(B) Highest posterior density estimates for the date of the common ancestor of viruses from the Washington outbreak clade as well as the doubling time in days of the growth of this clade.
11479,wb19vqv3,wb19vqv31011479,Main text,https://doi.org/10.1101/2020.04.02.20051417 doi: medRxiv preprint sampled genomes to estimate the date of a common ancestor and exponential growth rate of the virus population.
11480,wb19vqv3,wb19vqv31011480,Main text,Applying it to these data gives a median estimate for the date of the clade's common ancestor at 1 February 2020 with a 95% Bayesian credible interval of between 18 January and 9 February 2020 ( Fig. 1B ) .
11495,wb19vqv3,wb19vqv31411495,Main text,"Assuming a putative 15 January 2020 introduction based on the phylogenetic evidence, we simulated forward in a stochastic epidemiological transmission model to investigate the expected size of outbreak given this date of introduction."
11497,wb19vqv3,wb19vqv31411497,Main text,"Under this model, the median prevalence of active infections descended from the presumptive index case as of 1 March 2020 was 310 (90% uncertainty interval 50, 960), and with a total incidence to that date of 400 (90% uncertainty interval 80, 1300) infections ( Fig. 3 )."
11510,wb19vqv3,wb19vqv31511510,Main text,"As of this date, the relative lack of genomic data from New York City limits what can be inferred about transmission there and how that relates to Washington State."
11532,wb19vqv3,wb19vqv32511532,Diagnostics and sequencing,We examined date of sample collection and other available metadata to remove possible duplicates from sequencing.
11667,gnk3m0b8,gnk3m0b82211667,and,"These were used to perform scenarios for the outbreaks in progress in Iran, and in Europe, even more so in Italy, France and Germany."
11680,gnk3m0b8,gnk3m0b82511680,and,"20 Even considering the expected delays between the lockdown date and the impact on the epidemic curves (twelve days for infected cases, seventeen for the stabilization of deaths, thirty for deaths All rights reserved."
11811,3vntjg8d,3vntjg8d3411811,9,"By this date, India may have reported patients as many as 8000 (according to figure 2(b) ."
11820,3vntjg8d,3vntjg8d3611820,9,"Further, If India follows the case isolation strategy strictly, it is expected that this curve will start flattening out after that date (estimated based on the date from Hubei in Figure 4(a) )."
11833,3vntjg8d,3vntjg8d2311833,4,The deceleration phase begins from this date and continues till April 30 after which asymptotic slow growth begins till flattening of the curve.
11853,3vntjg8d,3vntjg8d3111853,Another observation from,"Though on 22 March, India observed Janta Curfew (voluntary lockdown) and the public activity has been limited since that date."
11862,3vntjg8d,3vntjg8d2811862,Effects of Social Distancing,"As shown in Figure 4 (a), on the date of lockdown, Hubei had 11,177 cases (Lockdown in Wuhan, Capital city of Hubei was announced much earlier on January 23, when the country had just 830 cases)."
11929,3vntjg8d,3vntjg8d411929,Introduction,"However, by considering a longer date range from March 10 to March 30, we show that the value of R 0 from India is comparable to infection rates reported elsewhere."
11945,3vntjg8d,3vntjg8d711945,Introduction,"The total number of air travellers who entered India in 2 months before this ban was around 1.5 million, and a gap between those being monitored for COVID-19 and total arrivals during this period has been reported [12] ."
12026,bj0pmg6j,bj0pmg6j2212026,190,"Firstly, the date of infection is difficult to determine since the onset-to-death 192 interval is still uncertain."
12106,86ovj7xg,86ovj7xg012106,abstract,Object: Support for policymaking requires forecasting of the entire course and outcome of the outbreak including the date of collapse of medical facilities if a lockdown is not initiated.
12118,86ovj7xg,86ovj7xg2812118,Results,"During January 14 -March 28 in Tokyo, 4 cases among children, 145 cases among adults, and 85 cases among elderly people were identified as community-acquired COVID-19 for whom the onset date was published."
12119,86ovj7xg,86ovj7xg2812119,Results,Figure 1 depicts the empirical distribution of incubation period among 62 cases for which the exposed date and onset date were published by MHLW.
12171,86ovj7xg,86ovj7xg3412171,Discussion,https://doi.org/10.1101/2020.04.02.20051490 doi: medRxiv preprint scarce because no lockdown has been conducted in Japan to date.
12238,86ovj7xg,86ovj7xg2112238,Method,Date t represents the publishing date of the latest publishing.
12241,86ovj7xg,86ovj7xg2112241,Method,"Therefore, this estimated degree of reporting delay multiplied by the latest published data is expected to be a prediction of the number of patients for whom the onset date was t-k."
12245,86ovj7xg,86ovj7xg2212245,Method,"Then we predicted the peak date, total number of symptomatic cases and mortality cases, maximum number of newly infected symptomatic cases per day, beds, and ICU beds."
12246,86ovj7xg,86ovj7xg2312246,Method,We also predicted the date of collapse of medical facilities.
12248,86ovj7xg,86ovj7xg2312248,Method,"Then for cases of collapse, we inferred the date of collapse."
12251,86ovj7xg,86ovj7xg012251,Introduction,"As of March 28, 2020, 1150 cases had been announced as infected in the community of Japan, excluding asymptomatic cases, those for which the onset date or age was not reported, those infected abroad, and those infected on a large cruise ship: the Diamond Princess [1] ."
12283,86ovj7xg,86ovj7xg4512283,Conclusion,"https://doi.org/10.1101/2020.04.02.20051490 doi: medRxiv preprint Notes: Bars represent the number of patients by incubation period among 62 cases whose exposure date and onset date were published by the Ministry of Labour, Health and Welfare, Japan."
12331,g26to20g,g26to20g1012331,Nonlinear Regression Summary,"https://doi.org/10.1101/2020.04.02.20051524 doi: medRxiv preprint Modeling of case data reported March 27, 2020, as predicted by temperature, indicated a strong regional-level correlation between COVID-19 case rates and mean maximum surface air temperatures below 22.5 o C. Case rates peaked in a goldilocks range around 7.5 o C and were uniformly distributed near zero at temperatures above 22.5 o C. That breakpoint ."
12393,efarquxn,efarquxn112393,Introduction,"On April 5, 2020 Murray and colleagues at the Institute for Health Metrics and Evaluation (Institute for Health Metrics and Evaluation) predicted that 67,212 COVID-19 deaths will occur in the US during April 2020 with a total of 81,766 (95% UI: 49,431 -136,401) deaths by June 22, 2020, the estimated date of the last death in the US at the end of the first wave of the pandemic."
12520,35b3efom,35b3efom2612520,Fatality Curves,"Notwithstanding the above considerations, we observed that with the available data to date the GRM also provides good fits for several other countries, such as Spain and Iran, and less so for others, such as Germany."
12638,o0e6saez,o0e6saez2612638,"I(t),","However, once the epidemic has spread widely, then indirect transmissions-contacts with infected surfaces, public transport, air-begin to play an important role in the epidemic growth."
12656,o0e6saez,o0e6saez1012656,FIG. 1. (color online),In these plots we represent time using dates with month/date; the starting date for each plot is chosen as t = 0.
13080,awbcw3gq,awbcw3gq013080,title,Triphosphates of the Two Components in DESCOVY and TRUVADA are Inhibitors of the SARS-CoV-2 Polymerase
13082,awbcw3gq,awbcw3gq013082,abstract,"We previously demonstrated that four nucleotide analogues (specifically, the active triphosphate forms of Sofosbuvir, Alovudine, AZT and Tenofovir alafenamide) inhibit the SARS-CoV-2 RNA-dependent RNA polymerase (RdRp)."
13083,awbcw3gq,awbcw3gq013083,abstract,"Tenofovir and emtricitabine are the two components in DESCOVY and TRUVADA, the two FDA-approved medications for use as pre-exposure prophylaxis (PrEP) to prevent HIV infection."
13086,awbcw3gq,awbcw3gq013086,abstract,"We report here that the triphosphates of tenofovir and emtricitabine, the two components in DESCOVY and TRUVADA, act as terminators for the SARS-CoV-2 RdRp catalyzed reaction."
13087,awbcw3gq,awbcw3gq013087,abstract,These results provide a molecular basis to evaluate the potential of DESCOVY and TRUVADA as PrEP
13096,awbcw3gq,awbcw3gq113096,Introduction,"[6] [7] [8] [9] In our previous studies, we used molecular analysis to design and select nucleotide analogues as potential inhibitors of the SARS-CoV-2 RdRp, 10, 11 with particular focus on two key properties: (1) their similarity in size and structure to natural nucleotides, including their ability to bind within the active site of the polymerase and (2) their ability to terminate polymerase reactions due either to (a) the presence of blocking groups on the 3'-OH or (b) the presence of chemical modification groups at nearby positions on the sugar ring."
13097,awbcw3gq,awbcw3gq113097,Introduction,"Based on these criteria, we previously tested the active triphosphate forms of Sofosbuvir, Alovudine and AZT with the RdRps of both SARS-CoV and SARS-CoV-2."
13099,awbcw3gq,awbcw3gq113099,Introduction,"10, 11 We also demonstrated the ability of the active triphosphate form of tenofovir, tenofovir diphosphate (TFV-DP"
13100,awbcw3gq,awbcw3gq213100,Introduction,"Tenofovir diphosphate (TFV-DP) and Emtricitabine triphosphate (Ec-TP) ( Fig. 1 c, g) are the active triphosphate forms of two viral reverse transcriptase inhibitors for HIV and hepatitis B virus (HBV)."
13101,awbcw3gq,awbcw3gq213101,Introduction,Gilead's TRUVADA and DESCOVY are two FDA-approved medications for use as pre-exposure prophylaxis (PrEP) to prevent HIV infection.
13103,awbcw3gq,awbcw3gq213103,Introduction,"[12] [13] [14] [15] Both TRUVADA and DESCOVY consist of the prodrugs, Emtricitabine (2',3'-dideoxy-5-fluoro-3'-thiacytidine, FTC) and either of two prodrug forms of Tenofovir (Tenofovir disoproxil fumarate (TDF) in TRUVADA and Tenofovir alafenamide (TAF) in DESCOVY)."
13108,awbcw3gq,awbcw3gq313108,Introduction,"Tenofovir alafenamide (TAF, Fig. 1a ), a prodrug form of TFV-DP, is activated by a series of hydrolases to the deprotected monophosphate form, Tenofovir (TFV) (Fig. 1b) , and then by two consecutive kinase reactions to TFV-DP (Fig. 1c) ."
13114,awbcw3gq,awbcw3gq313114,Introduction,"Given that Tenofovir diphosphate (TFV-DP), which is the common active triphosphate form of TAF or TDF, is much smaller than natural nucleoside triphosphates, we expect that it can easily fit within the active site of SARS-CoV-2 RdRp."
13115,awbcw3gq,awbcw3gq313115,Introduction,"As an acyclic nucleotide, TFV-DP lacks a normal sugar ring configuration, thus we reasoned that it is unlikely to be recognized by 3'-exonucleases involved in SARS-CoV-2 proofreading processes, thereby decreasing the likelihood of developing resistance to inhibition by the drug."
13122,awbcw3gq,awbcw3gq613122,Methods,"Finally, 5 µl of a solution containing either 2 mM TFV-DP and 20 µM UTP (a) or 2 mM Ec-TP (Toronto Research Chemicals), 200 µM UTP and 200 µM ATP (b) in 1x reaction buffer was added, and incubation was carried out for 2 hrs at 30°C."
13124,awbcw3gq,awbcw3gq413124,Results and Discussion,We tested the ability of the active triphosphate forms of both tenofovir and emtricitabine to be incorporated by the SARS-CoV-2 RdRp.
13126,awbcw3gq,awbcw3gq413126,Results and Discussion,"11 We then performed polymerase extension assays with UTP + TFV-DP, and UTP + ATP + Ec-TP, following the addition of a pre-annealed RNA template and primer to a pre-assembled mixture of the SARS-CoV-2 RdRp (nsp12) and the two cofactor proteins (nsp7 and nsp8)."
13132,awbcw3gq,awbcw3gq413132,Results and Discussion,"In the case of tenofovir diphosphate (TFV-DP) that contains an adenine base, because there are two A's in a row followed by a U in the next available positions of the template for RNA polymerase extension downstream of the priming site, we added both UTP and TFV-DP in the extension reaction."
13135,awbcw3gq,awbcw3gq413135,Results and Discussion,"In the case of emtricitabine triphosphate (Ec-TP), which is a C analogue, we need to extend the primer to the first available G in the template sequence."
13136,awbcw3gq,awbcw3gq413136,Results and Discussion,"Since the next available positions in the template consist of two As, four Us, another A and a G, we included UTP, ATP and Ec-TP in the extension reaction."
13150,awbcw3gq,awbcw3gq513150,Results and Discussion,Their prodrug versions (TAF or TDF and Emtricitabine or Emtricitabine-5'-O-phosphoramidate that can be readily synthesized using the ProTide prodrug approach 27 ) can be used as lead compounds for COVID-19 therapeutics development.
13151,awbcw3gq,awbcw3gq513151,Results and Discussion,"More importantly, since these molecules are contained in the FDA-approved combination drugs TRUVADA and DISCOVY, our results provide a molecular basis to further evaluate them in SARS-CoV-2 virus inhibition and animal models to test their efficacy for the development of potential COVID-19 medications."
13156,awbcw3gq,awbcw3gq513156,Results and Discussion,"Polymerase extension reactions were performed by incubating (a) UTP + TFV-DP, and (b) UTP + ATP + Ec-TP with pre-assembled SARS-CoV-2 polymerase (nsp12, nsp7 and nsp8), the indicated RNA template and primer, and the appropriate reaction buffer, followed by the detection of reaction products by MALDI-TOF MS."
13781,gpr86lxe,gpr86lxe013781,abstract,Therapeutic concentrations 27 of the approved protease inhibitor aprotinin displayed anti-SARS-CoV-2 activity.
13782,gpr86lxe,gpr86lxe013782,abstract,"The 28 efficacy of aprotinin and of remdesivir (currently under clinical investigation against 29 SARS-CoV-2) were further enhanced by therapeutic concentrations of the proton 30 pump inhibitor omeprazole (aprotinin 2.7-fold, remdesivir 10-fold)."
13798,gpr86lxe,gpr86lxe2913798,385,"substantially higher than that associated with SARS-CoV-2 (www.who.int) [ The serine protease inhibitors camostat, nafamostat, and aprotinin inhibited 428"
13800,gpr86lxe,gpr86lxe3013800,385,"In contrast to aprotinin, camostat, 429 ."
13806,gpr86lxe,gpr86lxe3113806,385,CoV-2 activity of aprotinin remain unclear.
13817,gpr86lxe,gpr86lxe3513817,385,"Finally, and probably most importantly during an ongoing pandemic, we have shown 464 that the approved drug aprotinin inhibits SARS-CoV-2 infection in clinically achievable 465"
13819,gpr86lxe,gpr86lxe3613819,385,"The efficacy of aprotinin (and of remdesivir, which is investigated 466"
13821,gpr86lxe,gpr86lxe3813821,385,concentrations of the proton pump inhibitor omeprazole.
13853,gpr86lxe,gpr86lxe313853,146,"SARS-CoV entry depends on the 165 cleavage of S by transmembrane serine protease 2 (TMPRSS2), the endosomal 166 cysteine protease cathepsin L, and/ or other cellular proteases, with residues R667 167 and R797 being critical cleavage sites [ by the SARS-CoV-2 residue) ( Figure 1A )."
13869,gpr86lxe,gpr86lxe1113869,146,"Nafamostat is an alternative serine protease inhibitor, 301 which is approved for pancreatitis and [Minakata et Nafamostat displayed higher activity against SARS-CoV-2 CPE formation (IC50 305 0.49µM) than camostat, but similar activity against SARS-CoV (18.9µM) ( Figure 4A )."
13875,gpr86lxe,gpr86lxe1313875,146,315 aprotinin was also more effective against SARS-CoV-2-induced CPE formation (IC50 329 22.9 KIU/mL) than against SARS-CoV (IC50 118 KIU/mL) ( Figure 4A ).
13876,gpr86lxe,gpr86lxe1313876,146,"In addition and 330 in contrast to nafamostat and camostat, aprotinin also inhibited double-stranded RNA 331 formation in SARS-CoV-2-infected cells ( Figure 4B )."
13877,gpr86lxe,gpr86lxe1313877,146,"Therapeutic aprotinin plasma 332 levels were described to reach 147 ± 61 KIU/mL after the administration of 1,000,000 333"
13880,gpr86lxe,gpr86lxe1513880,146,Previous research had shown that 344 hydroxychloroquine and ammonium chloride interfere with SARS-CoV and SARS-345
13882,gpr86lxe,gpr86lxe1613882,146,Both omeprazole and remdesivir also 359 inhibited the formation of double-stranded RNA ( Figure 4B ) 360 361
13884,gpr86lxe,gpr86lxe013884,Introduction,"the protein, primarily in S and the papain-like protease (nsp3) (Supplementary Table  144 1)."
13886,gpr86lxe,gpr86lxe1813886,increases the anti-SARS-CoV-2 activity of remdesivir and aprotinin 362,"Omeprazole is a well-tolerated drug and a promising remdesivir with a fixed omeprazole concentration of 8µM, which resulted in further 369 increased activity against CPE formation (aprotinin 2.7-fold, remdesivir 10-fold) 370"
13906,kg2j0dqy,kg2j0dqy1513906,Machine learning-driven computational design platform generates antibodies with improved predicted binding to SARS-CoV-2 receptor binding domain (RBD),These results indicate that the machine learning model was effective in searching the combinatorial space of possible antibody mutants to perform design optimization and identify increasingly improved predicted antibody designs.
13913,kg2j0dqy,kg2j0dqy2513913,Binding calculations with molecular dynamics,"All molecular dynamics simulations were performed with OpenMM [34] , a toolkit for molecular simulation, using the AMBER force field [35] ."
13923,kg2j0dqy,kg2j0dqy2613923,Binding calculations with molecular dynamics,"For example, for Alanine (A"
13939,kg2j0dqy,kg2j0dqy1213939,Rapidly generating 20 initial antibody designs for experimental evaluation,Use machine learning module of computational design platform to iteratively propose mutations to the original antibody (M396) and perform free energy calculations using FoldX [21] on LLNL high-performance computing (HPC
13941,kg2j0dqy,kg2j0dqy1313941,Rapidly generating 20 initial antibody designs for experimental evaluation,Use HPC to perform additional free energy calculations on 110 selected antibody sequences by performing free energy calculations using Rosetta [22] and 102 antibodies with molecular dynamics simulations [23] ; assess all sequences with the STATIUM energy prediction tool [24] .
14093,83p3sjja,83p3sjja1514093,Data analysis and results:,"In the linear regression, the items that perform as variable predictors of the PSS-10 were: constant (B 17,6, p<0.001), age (B -0.14, p<0.001), female (B 1.7, p=0.001) and the sum of responses about worry (B 2.1, p<0.001)."
14187,tohbzenc,tohbzenc814187,COVID Pandemic,"The infections can spread through air (if the infected individual is less than one meter apart from uninfected individuals), mostly through the droplets of infected people since the virus stays alive in droplets on the surfaces for many days."
14447,klj710h2,klj710h2214447,INTRODUCTION,"Following interaction, cleavage of the C-terminal segment of ACE2 by proteases, such as transmembrane protease serine 2 (TMPRSS2"
14465,klj710h2,klj710h2814465,Computational studies,The protein structures were solvated in a triclinic box filled with TIP3P water molecules and Na +/Cl -ions were added to neutralize the system.
14479,2kkw9nwa,2kkw9nwa014479,abstract,Most rheumatologists perceived the need to change treatment of RDs during the COVID-19 pandemic; reduce immunosuppression and defer the usage of rituximab and bDMARDs.
14528,2kkw9nwa,2kkw9nwa2714528,Change in patient management during the COVID-19 pandemic.,"66.5% were more inclined to initiate hydroxychloroquine in patients with borderline indications, while 14% disagreed with this approach (Figure 1 )."
14530,2kkw9nwa,2kkw9nwa2714530,Change in patient management during the COVID-19 pandemic.,"Nearly two-thirds (64.2%) were less likely to change the major IS in a patient with impending flare, with 58.3% deferring a switch to Rituximab (RTX) followed closely by cyclophosphamide (CYC), anti-TNFs and Janus Kinase inhibitors (JAKinibs"
14532,2kkw9nwa,2kkw9nwa2814532,Change in patient management during the COVID-19 pandemic.,"61% were avoiding Ibuprofen, and 37.10% advised vaccination against other viruses more often during the pandemic."
14536,2kkw9nwa,2kkw9nwa1414536,What does this study add?,"o There is reluctance to initiate biological DMARDs (especially Rituximab and anti-TNF agents), tsDMARDs (JAK inhibitors) and cyclophosphamide."
14537,2kkw9nwa,2kkw9nwa1514537,What does this study add?,o There is an inclination to prescribe hydroxychloroquine (HCQ
14565,2kkw9nwa,2kkw9nwa3814565,Discussion.,"The consensus was on the use of Tocilizumab in MAS, possibly backed by a case series, which remains to be confirmed in ongoing trials."
14569,2kkw9nwa,2kkw9nwa3814569,Discussion.,"[12] A prominent national regulatory body has issued an advisory favouring prophylaxis with hydroxychloroquine for healthcare workers and close contacts of patients with COVID-19 [13] However, caution is needed as reports of toxicity have emerged with the use of prophylaxis."
14585,2kkw9nwa,2kkw9nwa614585,Conclusion.,Most rheumatologists perceived the need to change treatment of RDs during the COVID-19 pandemic; reduce immunosuppression and defer the usage of rituximab and bDMARDs.
15077,ropgq7tr,ropgq7tr815077,Identification and selection of studies,"Regarding this meta-analysis, a comprehensive searching strategy was carefully designed to select eligible studies from multiple electronic databases, including PubMed, Web of Science, Cochrane Library, and Chinese National Knowledge Infrastructure (CNKI), VIP National Knowledge Infrastructure (CNKI), VIP (Chinese National Knowledge Infrastructure (CNKI), VIP) database."
15079,ropgq7tr,ropgq7tr815079,Identification and selection of studies,"Relevant Chinese National Knowledge Infrastructure (CNKI), VIP technical terms for the Chinese National Knowledge Infrastructure (CNKI), VIP"
15117,ropgq7tr,ropgq7tr615117,Introduction,"Up to date, existing evidence on the effectiveness of the use of masks to prevent respiratory viral transmission contradicts each other."
15222,ropgq7tr,ropgq7tr2715222,Discussion,This meta-analysis of all 21 available articles provides the most current evidence to date on the efficacy of masks in preventing the transmission of RVIs.
15790,nirg7jdq,nirg7jdq415790,Data collection,"The FC upgrade date (January 20, 2020) was also the official date Covid-19 was declared an ""outbreak"" in Beijing."
15820,aidtsyo1,aidtsyo1015820,abstract,"We employ OLS to perform the econometric estimation, and through RMSE, MSE, MAPE, and SMAPE forecast performance measures we select the best lagged predictor of both dependent variables."
15842,aidtsyo1,aidtsyo13115842,Discussion,"To date, predictive models for COVID-19 have focused on predicting changes from exponential adjustments for the growth in the infected population, without a predefined contagion model 6, 7 or with a predefined contagion model 8 ."
15896,aidtsyo1,aidtsyo1715896,Methodology,") is the number of cases detected up to date t, ) is the number of ICU admissions up to date t, and t=1, 2 …,T representing each day."
